ano,sexo,gr_et,edad_grupo,conteo_defunciones
1992,2,3,9,4
1992,2,4,10,14
1992,2,5,11,25
1992,2,6,12,26
1992,2,7,13,30
1992,2,8,14,36
1992,2,9,15,27
1992,2,10,16,25
1992,2,11,17,21
1992,2,12,18,32
1992,2,13,19,31
1992,2,14,20,36
1992,2,15,21,35
1992,2,16,22,30
1992,2,17,23,19
1992,2,17,24,11
1993,1,1,4,1
1993,1,1,5,6
1993,1,1,6,5
1993,1,1,7,6
1993,1,2,8,7
1993,1,3,9,5
1993,1,4,10,11
1993,1,5,11,20
1993,1,6,12,23
1993,1,7,13,47
1993,1,8,14,60
1993,1,9,15,64
1993,1,10,16,63
1993,1,11,17,82
1993,1,12,18,65
1993,1,13,19,76
1993,1,14,20,89
1993,1,15,21,72
1993,1,16,22,72
1993,1,17,23,44
1993,1,17,24,31
1993,2,1,4,3
1993,2,1,6,4
1993,2,1,7,10
1993,2,2,8,7
1993,2,3,9,3
1993,2,4,10,11
1993,2,5,11,22
1993,2,6,12,26
1993,2,7,13,33
1993,2,8,14,32
1993,2,9,15,29
1993,2,10,16,27
1993,2,11,17,34
1993,2,12,18,41
1993,2,13,19,44
1993,2,14,20,49
1993,2,15,21,32
1993,2,16,22,31
1993,2,17,23,25
1993,2,17,24,19
1994,1,1,4,4
1994,1,1,5,1
1994,1,1,6,5
1994,1,1,7,7
1994,1,2,8,7
1994,1,3,9,4
1994,1,4,10,12
1994,1,5,11,27
1994,1,6,12,41
1994,1,7,13,49
1994,1,8,14,62
1994,1,9,15,60
1994,1,10,16,52
1994,1,11,17,67
1994,1,12,18,60
1994,1,13,19,72
1994,1,14,20,58
1994,1,15,21,71
1994,1,16,22,58
1994,1,17,23,38
1994,1,17,24,29
1994,2,1,4,4
1994,2,1,5,3
1994,2,1,6,2
1994,2,1,7,1
1994,2,2,8,5
1994,2,3,9,3
1994,2,4,10,13
1994,2,5,11,23
1994,2,6,12,23
1994,2,7,13,27
1994,2,8,14,31
1994,2,9,15,24
1994,2,10,16,21
1994,2,11,17,29
1994,2,12,18,39
1994,2,13,19,33
1994,2,14,20,32
1994,2,15,21,43
1994,2,16,22,23
1994,2,17,23,29
1994,2,17,24,11
1995,1,1,4,1
1995,1,1,5,3
1995,1,1,6,2
1995,1,1,7,8
1995,1,2,8,8
1995,1,3,9,5
1995,1,4,10,10
1995,1,5,11,25
1995,1,6,12,41
1995,1,7,13,43
1995,1,8,14,72
1995,1,9,15,64
1995,1,10,16,56
1995,1,11,17,67
1995,1,12,18,73
1995,1,13,19,72
1995,1,14,20,78
1995,1,15,21,70
1995,1,16,22,59
1995,1,17,23,43
1995,1,17,24,36
1995,2,1,4,2
1995,2,1,5,1
1995,2,1,6,5
1995,2,1,7,5
1995,2,3,9,3
1995,2,4,10,10
1995,2,5,11,17
1995,2,6,12,22
1995,2,7,13,34
1995,2,8,14,40
1995,2,9,15,16
1995,2,10,16,28
1995,2,11,17,28
1995,2,12,18,29
1995,2,13,19,37
1995,2,14,20,33
1995,2,15,21,27
1995,2,16,22,33
1995,2,17,23,19
1995,2,17,24,20
1996,1,1,2,1
1996,1,1,5,3
1996,1,1,6,4
1996,1,1,7,4
1996,1,2,8,6
1996,1,3,9,2
1996,1,4,10,18
1996,1,5,11,21
1996,1,6,12,33
1996,1,7,13,45
1996,1,8,14,52
1996,1,9,15,64
1996,1,10,16,61
1996,1,11,17,70
1996,1,12,18,56
1996,1,13,19,82
1996,1,14,20,86
1996,1,15,21,75
1996,1,16,22,74
1996,1,17,23,48
1996,1,17,24,38
1996,2,1,4,1
1996,2,1,5,3
1996,2,1,6,2
1996,2,1,7,4
1996,2,2,8,3
1996,2,3,9,5
1996,2,4,10,14
1996,2,5,11,16
1996,2,6,12,23
1996,2,7,13,26
1996,2,8,14,20
1996,2,9,15,24
1996,2,10,16,24
1996,2,11,17,34
1996,2,12,18,24
1996,2,13,19,40
1996,2,14,20,26
1996,2,15,21,27
1996,2,16,22,29
1996,2,17,23,17
1996,2,17,24,19
1997,1,1,5,2
1997,1,1,6,6
1997,1,1,7,3
1997,1,2,8,4
1997,1,3,9,3
1997,1,4,10,7
1997,1,5,11,16
1997,1,6,12,21
1997,1,7,13,35
1997,1,8,14,49
1997,1,9,15,58
1997,1,10,16,59
1997,1,11,17,63
1997,1,12,18,59
1997,1,13,19,62
1997,1,14,20,70
1997,1,15,21,69
1997,1,16,22,63
1997,1,17,23,45
1997,1,17,24,35
1997,2,1,6,2
1997,2,1,7,4
1997,2,2,8,6
1997,2,3,9,3
1997,2,4,10,11
1997,2,5,11,19
1997,2,6,12,12
1997,2,7,13,23
1997,2,8,14,25
1997,2,9,15,25
1997,2,10,16,22
1997,2,11,17,28
1997,2,12,18,22
1997,2,13,19,30
1997,2,14,20,36
1997,2,15,21,32
1997,2,16,22,35
1997,2,17,23,24
1997,2,17,24,16
1998,1,1,5,2
1998,1,1,6,2
1998,1,1,7,3
1998,1,1,8,5
1998,1,2,9,4
1998,1,3,10,1
1998,1,4,11,9
1998,1,5,12,22
1998,1,6,13,15
1998,1,7,14,45
1998,1,8,15,63
1998,1,9,16,68
1998,1,10,17,79
1998,1,11,18,79
1998,1,12,19,68
1998,1,13,20,78
1998,1,14,21,74
1998,1,15,22,74
1998,1,16,23,74
1998,1,17,24,57
1998,1,17,25,38
1998,2,1,5,1
1998,2,1,6,4
1998,2,1,7,3
1998,2,1,8,7
1998,2,2,9,4
1998,2,3,10,8
1998,2,4,11,12
1998,2,5,12,18
1998,2,6,13,23
1998,2,7,14,29
1998,2,8,15,25
1998,2,9,16,16
1998,2,10,17,31
1998,2,11,18,28
1998,2,12,19,26
1998,2,13,20,39
1998,2,14,21,41
1998,2,15,22,38
1998,2,16,23,46
1998,2,17,24,18
1998,2,17,25,14
1999,1,1,5,5
1999,1,1,6,2
1999,1,1,7,3
1999,1,1,8,8
1999,1,2,9,2
1999,1,3,10,5
1999,1,4,11,12
1999,1,5,12,20
1999,1,6,13,40
1999,1,7,14,44
1999,1,8,15,45
1999,1,9,16,85
1999,1,10,17,64
1999,1,11,18,62
1999,1,12,19,66
1999,1,13,20,84
1999,1,14,21,88
1999,1,15,22,93
1999,1,16,23,75
1999,1,17,24,64
1999,1,17,25,36
1999,2,1,5,1
1999,2,1,6,1
1999,2,1,7,4
1999,2,1,8,3
1999,2,2,9,3
1999,2,3,10,5
1999,2,4,11,10
1999,2,5,12,20
1999,2,6,13,26
1999,2,7,14,23
1999,2,8,15,26
1999,2,9,16,34
1999,2,10,17,23
1999,2,11,18,27
1999,2,12,19,35
1999,2,13,20,41
1999,2,14,21,39
1999,2,15,22,34
1999,2,16,23,33
1999,2,17,24,31
1999,2,17,25,27
2000,1,1,5,4
2000,1,1,6,2
2000,1,1,7,4
2000,1,1,8,5
2000,1,2,9,1
2000,1,3,10,4
2000,1,4,11,11
2000,1,5,12,16
2000,1,6,13,29
2000,1,7,14,31
2000,1,8,15,44
2000,1,9,16,64
2000,1,10,17,74
2000,1,11,18,55
2000,1,12,19,67
2000,1,13,20,72
2000,1,14,21,80
2000,1,15,22,69
2000,1,16,23,62
2000,1,17,24,46
2000,1,17,25,49
2000,2,1,5,2
2000,2,1,6,3
2000,2,1,7,2
2000,2,1,8,6
2000,2,2,9,6
2000,2,3,10,3
2000,2,4,11,10
2000,2,5,12,21
2000,2,6,13,25
2000,2,7,14,18
2000,2,8,15,22
2000,2,9,16,24
