ano,sexo,edad,poblacion
2009,hombre,22,375932
2010,hombre,22,381102
2011,hombre,22,387223
2012,hombre,22,393794
2013,hombre,22,400032
2014,hombre,22,405659
2015,hombre,22,410874
2016,hombre,22,415637
2017,hombre,22,419921
1979,hombre,23,253552
1980,hombre,23,261332
1981,hombre,23,269091
1982,hombre,23,276902
1983,hombre,23,284404
1984,hombre,23,291515
1985,hombre,23,300355
1986,hombre,23,306926
1987,hombre,23,31215
1988,hombre,23,315831
1989,hombre,23,318048
1990,hombre,23,318716
1991,hombre,23,318323
1992,hombre,23,316821
1993,hombre,23,314651
1994,hombre,23,312541
1995,hombre,23,310565
1996,hombre,23,30937
1997,hombre,23,309857
1998,hombre,23,312574
1999,hombre,23,317325
2000,hombre,23,324147
2001,hombre,23,33241
2002,hombre,23,341125
2003,hombre,23,349135
2004,hombre,23,355616
2005,hombre,23,360184
2006,hombre,23,363286
2007,hombre,23,365189
2008,hombre,23,367114
2009,hombre,23,36972
2010,hombre,23,373784
2011,hombre,23,378986
2012,hombre,23,384929
2013,hombre,23,391256
2014,hombre,23,397439
2015,hombre,23,403272
2016,hombre,23,409186
2017,hombre,23,414779
1979,hombre,24,243583
1980,hombre,24,251088
1981,hombre,24,258826
1982,hombre,24,266548
1983,hombre,24,274346
1984,hombre,24,281845
1985,hombre,24,291101
1986,hombre,24,298494
1987,hombre,24,304951
1988,hombre,24,310024
1989,hombre,24,313503
1990,hombre,24,315474
1991,hombre,24,315953
1992,hombre,24,315477
1993,hombre,24,313893
1994,hombre,24,311772
1995,hombre,24,309746
1996,hombre,24,307841
1997,hombre,24,30668
1998,hombre,24,30716
1999,hombre,24,309839
2000,hombre,24,314521
2001,hombre,24,321263
2002,hombre,24,329443
2003,hombre,24,338144
2004,hombre,24,34623
2005,hombre,24,352875
2006,hombre,24,357712
2007,hombre,24,360873
2008,hombre,24,362762
2009,hombre,24,364774
2010,hombre,24,36751
2011,hombre,24,371595
2012,hombre,24,376658
2013,hombre,24,382359
2014,hombre,24,388633
2015,hombre,24,395031
2016,hombre,24,401555
2017,hombre,24,408331
1979,hombre,25,233867
1980,hombre,25,241146
1981,hombre,25,24861
1982,hombre,25,256309
1983,hombre,25,264012
1984,hombre,25,271814
1985,hombre,25,281355
1986,hombre,25,289209
1987,hombre,25,29648
1988,hombre,25,302778
1989,hombre,25,307643
1990,hombre,25,31086
1991,hombre,25,312618
1992,hombre,25,313013
1993,hombre,25,312448
1994,hombre,25,31089
1995,hombre,25,308884
1996,hombre,25,306922
1997,hombre,25,30507
1998,hombre,25,303911
1999,hombre,25,30437
2000,hombre,25,307006
2001,hombre,25,31159
2002,hombre,25,318268
2003,hombre,25,326433
2004,hombre,25,335197
2005,hombre,25,343408
2006,hombre,25,350355
2007,hombre,25,355234
2008,hombre,25,358382
2009,hombre,25,360366
2010,hombre,25,362528
2011,hombre,25,36529
2012,hombre,25,369243
2013,hombre,25,374119
2014,hombre,25,379743
2015,hombre,25,386228
2016,hombre,25,39334
2017,hombre,25,400729
1979,hombre,26,224567
1980,hombre,26,231477
1981,hombre,26,23872
1982,hombre,26,246147
1983,hombre,26,253827
1984,hombre,26,261532
1985,hombre,26,271287
1986,hombre,26,279464
1987,hombre,26,287192
1988,hombre,26,294305
1989,hombre,26,300381
1990,hombre,26,30498
1991,hombre,26,307978
1992,hombre,26,309637
1993,hombre,26,309947
1994,hombre,26,309377
1995,hombre,26,307924
1996,hombre,26,306012
1997,hombre,26,304102
1998,hombre,26,30227
1999,hombre,26,301102
2000,hombre,26,301513
2001,hombre,26,304086
2002,hombre,26,308598
