dataset,year,age,obs_tasa_x100k,pred_tasa_x100k,abs_error_100k,rel_abs_error
train,1996,16,30.187130903708923,28.137847900390625,2.0492830033182976,0.06788598127642684
train,1996,17,36.12032212221696,26.7452335357666,9.37508858645036,0.2595516328655234
train,1997,1,0.3919908430939051,0.74176424741745,0.34977340432354487,0.8922999362994332
train,1997,2,0.24344867444631227,0.24822305142879486,0.004774376982482592,0.019611431416998223
train,1997,3,0.15522442735768452,0.19282156229019165,0.03759713493250713,0.24221145841710615
train,1997,4,0.49534199649793215,0.5850376486778259,0.08969565217989378,0.1810782304223364
train,1997,5,1.0853352600618333,1.1402558088302612,0.05492054876842789,0.0506023813925002
train,1997,6,1.0560195997237702,1.5062519311904907,0.4502323314667205,0.4263484613202863
train,1997,7,1.916372162117157,2.081817626953125,0.165445464835968,0.08633263836033911
train,1997,8,2.7634604799010525,3.326354742050171,0.5628942621491184,0.20369180823930924
train,1997,9,3.7482359582274922,3.778913736343384,0.030677778115891563,0.008184590953657738
train,1997,10,4.525235731261338,4.7762250900268555,0.2509893587655174,0.055464372172165856
train,1997,11,6.395812218953254,6.937195777893066,0.5413835589398124,0.08464656878690087
train,1997,12,7.268811414726078,9.072641372680664,1.8038299579545862,0.24816023625264388
train,1997,13,10.153303851964834,12.114593505859375,1.961289653894541,0.19316763119571226
train,1997,14,14.45445347165972,16.263551712036133,1.8090982403764126,0.12515853635859117
train,1997,15,18.62891207153503,21.30647087097168,2.6775587994366497,0.1437313563537516
train,1997,16,27.400171111272677,26.755130767822266,0.6450403434504111,0.023541471359097177
train,1997,17,34.48731728906694,26.946672439575195,7.540644849491741,0.21864979482999783
train,1998,1,0.6223597253042479,0.6580302119255066,0.03567048662125871,0.05731490193033211
train,1998,2,0.19217981881286667,0.21739988029003143,0.025220061477164768,0.13123158109328503
train,1998,3,0.2314518356445084,0.18232785165309906,0.04912398399140935,0.21224279277978006
train,1998,4,0.5685665543702594,0.5427085161209106,0.025858038249348736,0.045479351626554
train,1998,5,1.2232490718597668,1.0640116930007935,0.15923737885897338,0.13017576103021
train,1998,6,1.222774365629487,1.4375731945037842,0.21479882887429724,0.1756651389756136
train,1998,7,2.428585634390872,1.9568510055541992,0.4717346288366726,0.1942425344843963
train,1998,8,3.2010755613886266,3.0335943698883057,0.16748119150032093,0.05232028681872641
train,1998,9,3.6636059564999166,3.5123958587646484,0.15121009773526817,0.04127357022852093
train,1998,10,5.928302037287942,4.440130710601807,1.4881713266861354,0.25102825688123803
train,1998,11,7.237710772960455,6.490067481994629,0.7476432909658257,0.10329830997929093
train,1998,12,8.148108338635383,8.490693092346191,0.342584753710808,0.042044697919191
train,1998,13,12.660323519959483,11.604616165161133,1.0557073547983507,0.0833870756251927
train,1998,14,15.318096932917378,15.43200969696045,0.11391276404307149,0.0074364827786325425
train,1998,15,19.854635702889546,20.05832290649414,0.2036872036045949,0.01025892424583449
train,1998,16,31.878352207974398,25.863203048706055,6.0151491592683435,0.1886907177643724
train,1998,17,35.305237406872024,27.53638458251953,7.768852824352493,0.2200481683445668
train,1999,1,0.6234791150660731,0.5825501084327698,0.040929006633303344,0.06564615501018066
train,1999,2,0.11879097397669895,0.20170694589614868,0.08291597191944973,0.6979989231758957
train,1999,3,0.25509930760945915,0.16491565108299255,0.0901836565264666,0.35352372129593757
train,1999,4,0.5885994703674947,0.5082134008407593,0.08038606952673544,0.1365717666657251
train,1999,5,1.200743260077988,1.013366937637329,0.18737632244065883,0.15605028041409347
train,1999,6,2.1337402526865747,1.3505122661590576,0.7832279865275171,0.367068102849442
train,1999,7,2.1928338843237563,1.8685370683670044,0.32429681595675186,0.1478893673957493
train,1999,8,2.524030727763378,2.7387611865997314,0.21473045883635367,0.08507442341106042
train,1999,9,5.016842256145629,3.3325366973876953,1.6843055587579334,0.3357302208763539
train,1999,10,4.523708130351425,4.274786949157715,0.24892118119370998,0.05502591547043895
train,1999,11,5.7962783985078214,6.3070526123046875,0.510774213796866,0.08812106297866408
train,1999,12,8.436591082606755,7.941036224365234,0.4955548582415208,0.05873875519024735
train,1999,13,13.223525180236647,11.179096221923828,2.0444289583128192,0.154605442228687
