ano,sexo,gr_et,poblacion,conteo_defunciones,tasa_x100k,tasa,t
1985,2,17,216306,37.0,17.105396983902434,0.00017105396983902433,7
1986,1,1,1975634,36.0,1.8221998609054104,1.8221998609054105e-05,8
1986,1,2,1815449,15.0,0.8262418828620358,8.262418828620358e-06,8
1986,1,3,1647328,7.0,0.42493055420656967,4.249305542065697e-06,8
1986,1,4,1639463,10.0,0.6099558208998922,6.099558208998922e-06,8
1986,1,5,1563119,28.0,1.7912903624100276,1.7912903624100276e-05,8
1986,1,6,1346256,58.0,4.308244494360657,4.308244494360657e-05,8
1986,1,7,1105525,73.0,6.603197575812397,6.603197575812396e-05,8
1986,1,8,908020,68.0,7.488821832118236,7.488821832118236e-05,8
1986,1,9,743110,69.0,9.285300964863884,9.285300964863884e-05,8
1986,1,10,614584,59.0,9.599989586451974,9.599989586451973e-05,8
1986,1,11,531579,77.0,14.485147080678507,0.00014485147080678506,8
1986,1,12,440405,83.0,18.846289211067088,0.00018846289211067087,8
1986,1,13,339617,95.0,27.972686879632057,0.0002797268687963206,8
1986,1,14,255264,98.0,38.39162592453303,0.0003839162592453303,8
1986,1,15,181556,94.0,51.774659058362154,0.0005177465905836215,8
1986,1,16,113017,78.0,69.0161657095835,0.0006901616570958351,8
1986,1,17,171703,79.0,46.009679504726186,0.00046009679504726187,8
1986,2,1,1959513,36.0,1.8371911796451466,1.8371911796451466e-05,8
1986,2,2,1819442,10.0,0.5496190590301863,5.496190590301862e-06,8
1986,2,3,1665333,9.0,0.5404324540497306,5.404324540497306e-06,8
1986,2,4,1673284,18.0,1.075728925872715,1.075728925872715e-05,8
1986,2,5,1616613,31.0,1.9175894292573423,1.9175894292573424e-05,8
1986,2,6,1410571,52.0,3.686450380732342,3.686450380732342e-05,8
1986,2,7,1160363,43.0,3.7057369116388577,3.705736911638858e-05,8
1986,2,8,939516,38.0,4.044635748619502,4.0446357486195016e-05,8
1986,2,9,750429,38.0,5.063770190117919,5.063770190117919e-05,8
1986,2,10,597337,32.0,5.3571099730972636,5.357109973097263e-05,8
1986,2,11,505533,42.0,8.308062975117352,8.308062975117352e-05,8
1986,2,12,421518,39.0,9.252273924245229,9.252273924245228e-05,8
1986,2,13,326735,43.0,13.160512341806053,0.00013160512341806052,8
1986,2,14,247699,46.0,18.57092681036258,0.00018570926810362577,8
1986,2,15,178043,27.0,15.164875900765544,0.00015164875900765544,8
1986,2,16,112040,28.0,24.991074616208497,0.00024991074616208497,8
1986,2,17,205214,42.0,20.46643991150701,0.0002046643991150701,8
1987,1,1,1989187,37.0,1.8600563948990216,1.8600563948990217e-05,9
1987,1,2,1854951,11.0,0.5930075780977503,5.930075780977503e-06,9
1987,1,3,1662563,5.0,0.30074048321777885,3.0074048321777884e-06,9
