ano,t,gr_et,poblacion,conteo_defunciones,tasa_x100k,tasa
2000,22,9,2450371,88.0,3.5912929103388835,3.5912929103388834e-05
2000,22,10,1777924,100.0,5.624537381800347,5.624537381800347e-05
2000,22,11,1593880,75.0,4.705498531884458,4.705498531884458e-05
2000,22,12,1118192,96.0,8.5852876786813,8.5852876786813e-05
2000,22,13,882676,100.0,11.329185340940503,0.00011329185340940503
2000,22,14,715539,116.0,16.21155520523689,0.0001621155520523689
2000,22,15,553017,98.0,17.720974219599036,0.00017720974219599035
2000,22,16,406463,109.0,26.8167090239456,0.00026816709023945597
2000,22,17,404275,151.0,37.35081318409498,0.0003735081318409498
2001,23,1,4277641,22.0,0.5143021585962918,5.143021585962918e-06
2001,23,2,3122330,12.0,0.38432837015946425,3.843283701594643e-06
2001,23,3,4009173,11.0,0.27437079916481527,2.743707991648153e-06
2001,23,4,2771941,21.0,0.7575918823669047,7.575918823669047e-06
2001,23,5,2541469,40.0,1.5738928942277086,1.5738928942277085e-05
2001,23,6,2544411,50.0,1.9650913315498164,1.9650913315498164e-05
2001,23,7,2757110,58.0,2.103652012433309,2.103652012433309e-05
2001,23,8,2646365,65.0,2.456199352697001,2.4561993526970012e-05
2001,23,9,2287187,96.0,4.197295629959422,4.197295629959422e-05
2001,23,10,2065472,110.0,5.325659219781241,5.3256592197812414e-05
2001,23,11,1224516,123.0,10.04478504160011,0.0001004478504160011
2001,23,12,1169762,97.0,8.292285097310392,8.292285097310393e-05
2001,23,13,999545,135.0,13.50614529610973,0.0001350614529610973
2001,23,14,730611,112.0,15.32963505887538,0.0001532963505887538
2001,23,15,514556,129.0,25.070157572742325,0.00025070157572742324
2001,23,16,424970,96.0,22.589829870343788,0.0002258982987034379
2001,23,17,379830,144.0,37.91169733828292,0.0003791169733828292
2002,24,1,3809357,36.0,0.9450413809994704,9.450413809994704e-06
2002,24,2,3906278,12.0,0.3071977980061839,3.071977980061839e-06
2002,24,3,2938230,3.0,0.10210228607018511,1.021022860701851e-06
2002,24,4,3435656,29.0,0.8440891637579547,8.440891637579548e-06
2002,24,5,3543152,51.0,1.439396334111548,1.439396334111548e-05
2002,24,6,2502643,28.0,1.1188171864704635,1.1188171864704634e-05
2002,24,7,2763393,69.0,2.496930404035908,2.496930404035908e-05
2002,24,8,2368861,71.0,2.997221027320725,2.997221027320725e-05
2002,24,9,2337161,94.0,4.021973668052821,4.0219736680528214e-05
2002,24,10,1971723,125.0,6.33963289975316,6.33963289975316e-05
2002,24,11,1580381,101.0,6.390863975205979,6.390863975205978e-05
2002,24,12,1346346,82.0,6.090559187608535,6.090559187608535e-05
2002,24,13,855755,125.0,14.6069844756969,0.000146069844756969
2002,24,14,737844,117.0,15.857010424967878,0.0001585701042496788
2002,24,15,634632,118.0,18.59345258354448,0.0001859345258354448
2002,24,16,368259,107.0,29.055637472539708,0.00029055637472539706
2002,24,17,404159,149.0,36.8666787081322,0.00036866678708132196
2003,25,1,3013456,29.0,0.9623502052128852,9.623502052128851e-06
